date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:39:22	1236/1236	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Feb%202020%2020:39:22%20GMT	http://cvresumetemplate.com/robots.txt		(from )
04:39:22	17264/17264	---M-Z	200	added ('OK')	text/html	etag:%224370-5e1c668a-56ec1b3d2a112ff;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/index.html	(from )
04:39:23	121205/121205	---M-Z	200	added ('OK')	text/css	etag:%221d975-5dddbb88-e90cd8d644e46e5;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/css/bootstrap.min.css	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/css/bootstrap.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
04:39:23	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5dddbb88-a2613f4575a6c2a3;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/css/font-awesome.min.css	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/css/font-awesome.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
04:39:24	3356/3356	---M-Z	200	added ('OK')	text/css	etag:%22d1c-5dddbb88-47f06714fd636cc0;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/css/owl.carousel.min.css	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/css/owl.carousel.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
04:39:24	17419/17419	---M-Z	200	added ('OK')	text/css	etag:%22440b-5e1b8366-abdbbe6fc19f1d91;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/css/style.css	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/css/style.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
04:39:24	1934/1934	---M-Z	200	added ('OK')	image/svg+xml	etag:%2278e-5dddbb88-38e6efba99d6a625;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/images/header-shape-1.svg	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/images/header-shape-1.svg	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
04:39:24	1661/1661	---M-Z	200	added ('OK')	image/svg+xml	etag:%2267d-5dddbb88-e043847cc30e2b88;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/images/header-shape-round.svg	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/images/header-shape-round.svg	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
04:39:25	642/642	---M-Z	200	added ('OK')	image/svg+xml	etag:%22282-5dddbb88-aa872c1ae62e62f4;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/images/oval.svg	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/images/oval.svg	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
04:39:25	700/700	---M-Z	200	added ('OK')	image/svg+xml	etag:%222bc-5dddbb88-401b909d0b01f55;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/images/triangle.svg	C:/Users/ACER%20-%20PC/Desktop/B/B/cvresumetemplate.com/maha-personal-cv-resume-html-template/images/triangle.svg	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/)
